ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,SAT_LastBus,RoadName,Latitude,Longitude,Description,StopIndex
179,SBST,1,1,22009,0,2400,Jurong West Ctrl 3,1.33932334709184,103.70545701843297,Boon Lay Int,0
179,SBST,1,2,22501,0.8,0003,Jurong West St 63,1.33769199118033,103.70297133237953,Blk 662A,1
179,SBST,1,3,22511,1.1,0005,Jurong West St 63,1.33746181720219,103.70029665103546,Blk 658C,2
179,SBST,1,4,22521,1.4,0006,Jurong West St 63,1.33741647896432,103.69776790191162,Pioneer Stn Exit A,3
179,SBST,1,5,22451,1.7,0007,Pioneer Rd Nth,1.33817022625307,103.69561280580359,Opp Blk 643,4
179,SBST,1,6,27301,2,0008,Pioneer Rd Nth,1.34045284969365,103.69439784182157,Blk 978,5
179,SBST,1,7,27321,2.5,0010,Pioneer Rd Nth,1.34403944399659,103.6917308330011,Blk 949,6
179,SBST,1,8,27281,3.3,0012,Lien Ying Chow Dr,1.34565500002282,103.68780555602468,Hall 1,7
179,SBST,1,9,27291,3.6,0013,Lien Ying Chow Dr,1.34772267411254,103.68649929145208,Opp Hall 6,8
179,SBST,1,10,27311,3.8,0013,Lien Ying Chow Dr,1.34902211051484,103.68539285058924,Hall 2,9
179,SBST,1,11,27061,4.1,0014,Nanyang Dr,1.34984722128218,103.68387082088056,Opp Blk 41,10
179,SBST,1,12,27211,4.5,0015,Nanyang Dr,1.34793140650697,103.68050066497821,Lee Wee Nam Lib,11
179,SBST,1,13,27221,4.9,0017,Nanyang Dr,1.34623151653928,103.67851763727317,Sch Of CEE,12
179,SBST,1,14,27231,5.4,0018,Nanyang Dr,1.34207972361937,103.67922271593845,Sch Of Comm And Info,13
179,SBST,1,15,27241,5.9,0019,Nanyang Dr,1.33998726585628,103.68089382456998,Hall 7,14
179,SBST,1,16,27251,6.3,0020,Nanyang Dr,1.34228305598254,103.68371694398068,Innovation Ctr,15
179,SBST,1,17,27261,6.7,0021,Nanyang Dr,1.34383372710626,103.6868651241412,Hall 4,16
179,SBST,1,18,27329,7.7,0023,Pioneer Rd Nth,1.34404250003243,103.69186499999779,Blk 840,17
179,SBST,1,19,27309,8.1,0024,Pioneer Rd Nth,1.3410704693164,103.69426536144466,Blk 705,18
179,SBST,1,20,22459,8.4,0025,Pioneer Rd Nth,1.33856290426228,103.69572041924057,Blk 643,19
179,SBST,1,21,22529,8.7,0026,Jurong West St 63,1.33777262767008,103.69728617102128,Pioneer Stn Exit B,20
179,SBST,1,22,22519,9,0028,Jurong West St 63,1.33773359608761,103.6999522210238,Blk 608,21
179,SBST,1,23,22509,9.3,0029,Jurong West St 63,1.33799405073941,103.70323491142737,Blk 664C,22
179,SBST,1,24,22009,9.8,0032,Jurong West Ctrl 3,1.33932334709184,103.70545701843297,Boon Lay Int,23
